"Percentile","RR","RRlow","RRhigh"
0,1.026,0.886,1.188
0.1,1.021,0.903,1.154
0.2,1.019,0.91,1.141
0.3,1.017,0.917,1.129
0.4,1.017,0.919,1.124
0.5,1.016,0.921,1.121
0.6,1.015,0.925,1.115
0.7,1.015,0.925,1.113
0.8,1.015,0.926,1.111
0.9,1.014,0.929,1.108
1,1.013,0.932,1.101
2,1.011,0.941,1.087
2.5,1.01,0.945,1.079
3,1.009,0.949,1.073
4,1.008,0.953,1.067
5,1.007,0.957,1.059
6,1.006,0.961,1.053
7,1.005,0.964,1.049
8,1.005,0.966,1.045
9,1.004,0.969,1.041
10,1.004,0.971,1.038
11,1.004,0.973,1.035
12,1.003,0.974,1.033
13,1.003,0.975,1.032
14,1.003,0.976,1.03
15,1.003,0.977,1.028
16,1.002,0.979,1.027
17,1.002,0.98,1.025
18,1.002,0.98,1.024
19,1.002,0.981,1.023
20,1.002,0.982,1.023
21,1.002,0.982,1.022
22,1.002,0.983,1.021
23,1.002,0.983,1.021
24,1.002,0.983,1.02
25,1.001,0.984,1.02
26,1.001,0.984,1.019
27,1.001,0.984,1.019
28,1.001,0.985,1.018
29,1.001,0.985,1.018
30,1.001,0.985,1.018
31,1.001,0.985,1.017
32,1.001,0.986,1.017
33,1.001,0.986,1.017
33.333,1.001,0.986,1.016
34,1.001,0.986,1.016
35,1.001,0.986,1.016
36,1.001,0.987,1.016
37,1.001,0.987,1.015
38,1.001,0.987,1.015
39,1.001,0.987,1.015
40,1.001,0.988,1.014
41,1.001,0.988,1.014
42,1.001,0.988,1.014
43,1.001,0.988,1.014
44,1.001,0.988,1.013
45,1.001,0.989,1.013
46,1.001,0.989,1.013
47,1.001,0.989,1.013
48,1.001,0.989,1.012
49,1.001,0.989,1.012
50,1.001,0.989,1.012
51,1.001,0.99,1.012
52,1.001,0.99,1.012
53,1.001,0.99,1.012
54,1.001,0.99,1.011
55,1.001,0.99,1.011
56,1.001,0.99,1.011
57,1.001,0.99,1.011
58,1.001,0.991,1.011
59,1.001,0.991,1.01
60,1,0.991,1.01
61,1,0.991,1.01
62,1,0.991,1.01
63,1,0.991,1.01
64,1,0.991,1.01
65,1,0.991,1.009
66,1,0.992,1.009
66.667,1,0.992,1.009
67,1,0.992,1.009
68,1,0.992,1.009
69,1,0.992,1.009
70,1,0.992,1.009
71,1,0.992,1.008
72,1,0.993,1.008
73,1,0.993,1.008
74,1,0.993,1.008
75,1,0.993,1.008
76,1,0.993,1.007
77,1,0.993,1.007
78,1,0.993,1.007
79,1,0.994,1.007
80,1,0.994,1.007
81,1,0.994,1.007
82,1,0.994,1.006
83,1,0.994,1.006
84,1,0.995,1.006
85,1,0.995,1.006
86,1,0.995,1.005
87,1,0.995,1.005
88,1,0.995,1.005
89,1,0.996,1.004
90,1,0.996,1.004
91,1,0.996,1.004
92,1,0.997,1.003
93,1,0.998,1.002
94,1,1,1
95,1,0.998,1.002
96,1,0.996,1.005
97,1.001,0.995,1.008
97.5,1.003,0.995,1.011
98,1.004,0.994,1.014
99,1.011,0.99,1.031
99.1,1.013,0.988,1.039
99.2,1.015,0.985,1.046
99.3,1.019,0.98,1.059
99.4,1.024,0.972,1.079
99.5,1.027,0.967,1.09
99.6,1.038,0.947,1.138
99.7,1.048,0.931,1.179
99.8,1.064,0.903,1.252
99.9,1.109,0.826,1.489
100,1.173,0.733,1.877
